lines  path
-----  ----
2949 src/algorithms/edges/core.rs
1352 src/model/cube/tests.rs
1164 src/algorithms/centers/generated_center_schedule.rs
1048 src/algorithms/centers/reduction.rs
991 src/algorithms/centers/face_commutator.rs
889 benchmark/stage_solve_time.rs
650 benchmark/large_cube_memory_and_move_time.rs
598 src/algorithms/corners/search.rs
552 src/algorithms/edges/three_cycle.rs
448 src/simulation/derived/pieces.rs
433 src/layout/strip.rs
337 src/model/face.rs
306 src/algorithms/corners/reduction.rs
292 src/model/cube/state.rs
292 src/layout/geometry.rs
265 src/algorithms/edges/pairing.rs
237 src/layout/matrix.rs
220 src/solver/mod.rs
205 src/storage/backends/three_bit.rs
174 src/bin/generate_center_schedule.rs
164 src/storage/mod.rs
151 src/storage/backends/byte3.rs
145 src/simulation/conventions.rs
144 src/algorithms/traits.rs
142 src/solver/context.rs
130 src/algorithms/centers/precompute.rs
123 src/simulation/render/net.rs
123 src/algorithms/operation.rs
106 src/storage/backends/nibble.rs
96 src/solver/pipeline.rs
95 src/moves/move.rs
94 src/storage/facelet_array.rs
88 src/storage/backends/byte.rs
82 src/model/facelet.rs
76 src/algorithms/edges/prepared.rs
75 src/lib.rs
70 src/solver/report.rs
70 src/algorithms/three_by_three.rs
64 src/model/cube/types.rs
41 src/solver/options.rs
40 src/moves/history.rs
29 src/storage/init.rs
28 src/simulation/derived/types.rs
26 src/util/random.rs
26 src/model/cube/mod.rs
25 src/solver/execution_mode.rs
25 src/solver/error.rs
20 src/solver/phase.rs
19 Cargo.toml
16 src/algorithms/mod.rs
13 src/model/mod.rs
13 src/algorithms/centers/mod.rs
12 src/simulation/derived/mod.rs
11 src/storage/backends/mod.rs
10 src/algorithms/edges/mod.rs
9 src/main.rs
6 src/layout/mod.rs
5 src/util/threading.rs
5 src/moves/mod.rs
4 src/util/mod.rs
4 src/simulation/mod.rs
4 src/algorithms/corners/mod.rs
1 src/simulation/render/mod.rs
1 src/simulation/apply/mod.rs
